nota_educ_financeira;interesse_aprender;fez_curso_financas;fontes_informacao;educ_financeira_escola;sente_falta_educ;acredita_ferramentas_digitais;entende_conceitos_basicos;temas_dificeis;dificuldade_aprendizado;formato_aprendizado;dashboard_ajudaria;tipo_ajuda_util
2;Sim;Não;Youtube, Redes Sociais;Sim;Sim;Sim;Muito pouco;Investimentos, Planejamento financeiro, Dívidas;Não se aplica;Vídeos, Aplicativos, Cursos online;Talvez;Conteúdos educativos
3;Sim;Não;Não busco informações;Sim;Sim;Sim;Muito pouco;Investimentos;Falta de interesse no assunto ;Aplicativos, Redes sociais;Sim;Gráficos e visualização de gastos
4;Sim;Sim;Youtube, Redes Sociais;Não;Parcialmente;Sim;Sim, bem;Investimentos, Juros;Não se aplica;Vídeos, Redes sociais;Sim;Alertas de limite
4;Sim;Não;Youtube, Redes Sociais;Não;Sim;Sim;Parcialmente;Juros;Não se aplica;Vídeos, Aplicativos;Sim;Gráficos e visualização de gastos
3;Talvez;Não;Youtube, Redes Sociais;Sim;Sim;Talvez;Sim, bem;Planejamento financeiro, Dívidas, Juros;Não se aplica;Vídeos;Não;Alertas de limite
1;Sim;Não;Redes Sociais;Não;Sim;Sim;Parcialmente;Investimentos;Não se aplica;Vídeos;Talvez;Gráficos e visualização de gastos
3;Sim;Sim;Youtube;Não;Sim;Sim;Parcialmente;Planejamento financeiro, Juros;Buscar mais conhecimento;Vídeos, Aplicativos, Redes sociais;Sim;Alertas de limite
3;Sim;Sim;Youtube, Redes Sociais;Sim;Sim;Sim;Sim, bem;Investimentos, Planejamento financeiro;falta de conteúdo centralizado e acessível e democrático. Acaba que uma informação está diluída em vários vídeos para reter atenção, aí depois quer vender curso ou plataforma.  Isso desistimula a assistir, pois toda hora alguém quer vender alguma coisa;Vídeos, Cursos online, Artigos;Sim;Gráficos e visualização de gastos
2;Sim;Sim;Não busco informações;Não;Sim;Sim;Muito pouco;Controle de gastos, Investimentos, Dívidas, Juros;Falta de informação rápida, direta e simplificada. Além de fontes confiáveis ;Vídeos, Aplicativos;Talvez;Conteúdos educativos
4;Sim;Não;Não busco informações;Sim;Sim;Sim;Muito pouco;Investimentos, Planejamento financeiro, Juros;Conceitos muito complicados e a necessidade de estudar e entender diversos métodos diferentes para investimentos.;Vídeos, Redes sociais;Sim;Gráficos e visualização de gastos
3;Talvez;Sim;Youtube, Redes Sociais;Sim;Sim;Sim;Sim, bem;Dívidas;Não se aplica;Vídeos, Aplicativos, Cursos online, Redes sociais;Talvez;Gráficos e visualização de gastos
2;Sim;Não;Bancos;Não;Parcialmente;Sim;Parcialmente;Investimentos, Planejamento financeiro, Dívidas;Pouca base ;Aplicativos, Artigos;Sim;Gráficos e visualização de gastos
3;Sim;Sim;Youtube, Redes Sociais;Sim;Não;Sim;Sim, bem;Investimentos;Tempo;Vídeos;Talvez;Gráficos e visualização de gastos
4;Talvez;Sim;Cursos Online;Não;Sim;Sim;Parcialmente;Juros;Informações controversas ;Artigos;Talvez;Gráficos e visualização de gastos
2;Sim;Sim;Youtube, Redes Sociais;Sim;Sim;Sim;Parcialmente;Investimentos, Planejamento financeiro, Juros;Falta de oportunidades;Vídeos, Aplicativos, Redes sociais;Sim;Conteúdos educativos
4;Sim;Sim;Youtube, Redes Sociais, Cursos Online;Sim;Parcialmente;Sim;Sim, bem;Controle de gastos;vergonha na cara, confesso que tenho preguiça ;Vídeos, Aplicativos, Cursos online;Sim;Gráficos e visualização de gastos
3;Sim;Não;Redes Sociais;Não;Parcialmente;Sim;Muito pouco;Investimentos;Não se aplica;Vídeos;Sim;Gráficos e visualização de gastos
4;Talvez;Não;Não busco informações;Não;Sim;Sim;Parcialmente;Investimentos, Juros;Não se aplica;Vídeos, Artigos;Não sei o que é dashboard;Gráficos e visualização de gastos
3;Sim;Não;Youtube, Redes Sociais;Sim;Sim;Sim;Parcialmente;Investimentos;Explicações que priorizam uma linguagem muito técnica;Aplicativos;Sim;Planejamento automático
4;Sim;Sim;Youtube, Bancos, Redes Sociais, Cursos Online;Sim;Sim;Sim;Sim, bem;Investimentos;Não se aplica;Vídeos, Aplicativos, Cursos online;Talvez;Planejamento automático
4;Talvez;Sim;Não busco informações;Sim;Sim;Sim;Sim, bem;Investimentos;preguiça ;Redes sociais;Sim;Alertas de limite
2;Sim;Não;Redes Sociais, Não busco informações;Não;Parcialmente;Sim;Parcialmente;Investimentos, Juros;Falta de tempo;Vídeos, Redes sociais;Sim;Conteúdos educativos
3;Sim;Não;Youtube, Bancos, Redes Sociais;Sim;Sim;Sim;Parcialmente;Investimentos, Juros;Falta de tempo pra aprender ;Vídeos, Aplicativos, Cursos online, Redes sociais;Sim;Planejamento automático
5;Sim;Sim;Youtube, Bancos, Redes Sociais;Sim;Parcialmente;Sim;Sim, bem;Dívidas;Aplicação ;Vídeos, Aplicativos, Cursos online, Artigos, Redes sociais;Sim;Gráficos e visualização de gastos
3;Sim;Não;Youtube, Redes Sociais;Sim;Sim;Sim;Muito pouco;Investimentos, Dívidas, Juros;Não se aplica;Vídeos, Aplicativos, Redes sociais;Não sei o que é dashboard;Conteúdos educativos
4;Sim;Sim;Youtube, Redes Sociais;Não;Sim;Sim;Sim, bem;Planejamento financeiro, Juros;Não se aplica;Aplicativos, Redes sociais;Sim;Gráficos e visualização de gastos
4;Sim;Sim;Youtube, Bancos, Redes Sociais, Cursos Online;Sim;Sim;Sim;Parcialmente;Controle de gastos, Dívidas, Juros;Não se aplica;Vídeos, Aplicativos, Cursos online, Artigos;Talvez;Planejamento automático
4;Sim;Não;Bancos;Não;Sim;Sim;Sim, bem;Investimentos;Não se aplica;Vídeos, Cursos online, Artigos;Sim;Conteúdos educativos
3;Talvez;Não;Não busco informações;Sim;Parcialmente;Sim;Parcialmente;Investimentos;Não se aplica;Vídeos, Aplicativos, Redes sociais;Sim;Alertas de limite
3;Sim;Sim;Youtube, Bancos, Redes Sociais, Cursos Online;Sim;Sim;Sim;Parcialmente;Investimentos, Juros;Não se aplica;Vídeos, Aplicativos, Cursos online, Redes sociais;Talvez;Gráficos e visualização de gastos
1;Sim;Não;Redes Sociais;Não;Sim;Sim;Muito pouco;Investimentos;Não se aplica;Aplicativos;Não sei o que é dashboard;Planejamento automático
3;Talvez;Sim;Youtube, Bancos, Redes Sociais;Sim;Sim;Sim;Parcialmente;Investimentos;Não se aplica;Vídeos, Aplicativos, Redes sociais;Sim;Gráficos e visualização de gastos
2;Talvez;Não;Não busco informações;Sim;Parcialmente;Sim;Muito pouco;Investimentos, Planejamento financeiro,;Não se aplica;Vídeos, Aplicativos, Redes sociais;Não sei o que é dashboard;Planejamento automático
2;Sim;Não;Youtube, Redes Sociais;Não;Sim;Sim;Parcialmente;Controle de gastos, Investimentos, Planejamento financeiro;O pouco contanto com o dinheiro e ações que façam eu ter de me aproximar mais de tal, por conta da idade. Porém daqui poucos anos essa falta de aprendizado fará falta. ;Vídeos, Aplicativos, Cursos online;Sim;Gráficos e visualização de gastos
4;Talvez;Sim;Youtube, Bancos, Redes Sociais, Cursos Online;Sim;Parcialmente;Sim;Sim, bem;Investimentos, Juros;.;Aplicativos, Cursos online, Artigos, Livros que falem sobre a doutrina.;Talvez;Gráficos e visualização de gastos
